medical_abstract,ans,question
"Follow-up recatheterization after balloon aortic valvuloplasty. Mansfield Scientific Aortic Valvuloplasty Registry Investigators. The results of recatheterization were assessed in a select group of 95 patients enrolled in the Mansfield Scientific Aortic Valvuloplasty Registry to determine whether any procedural or patient-related variables at baseline predicted either initial immediate or follow-up (6.2 +/- 3.3 months) results. At the follow-up catheterization, 39 (41%) of the patients were in improved condition and 56 patients (59%) had recurrence of symptoms, allowing for analysis of the effect of the procedure in two symptomatic patient subsets. In the total group the aortic valve area increased initially from 0.56 +/- 0.16 to 0.87 +/- 0.27 cm2 but partial return to the baseline valve area was evident at follow-up (0.63 +/- 0.25 cm2). Similarly, the mean aortic gradient initially decreased from 72 +/- 30 to 35 +/- 16 mm Hg but then increased to 55 +/- 25 mm Hg at follow-up. Neither the initial nor the late hemodynamic results appeared affected by any definable procedural variable at the time of valvuloplasty, including the maximal diameter of balloons, number of balloons simultaneously used, mean inflation time or total number of inflations. Such technical concerns also did not seem to affect short- or long-term outcome. Similarly, no baseline hemodynamic variable clearly separated those who became increasingly symptomatic from those whose condition was improved at the 6 month interval. At recatheterization, a reduction in the aortic valve area toward baseline was observed in 24 (62%) of the 39 improved patients and in 45 (80%) of the 56 who were symptomatic. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Is routine preoperative hemodynamic evaluation of nonagenarians necessary? An Incidence of co-morbid cardiac disease in the elderly surgical patient as high as 66% has been previously reported. Even in the absence of clinically significant cardiac disease, advanced age alone is often considered sufficient indication for Swan-Ganz placement, hemodynamic evaluation, adjustment of fluid states, and inotropic support. Yet data clearly documenting the need for this evaluation and therapy are difficult to obtain. All major general surgical and orthopedic operations in non-agenarians were reviewed in our institution from July 1, 1987 through December 31, 1988. Fifty-one procedures were performed on 46 patients. None of these patients had preoperative Swan-Ganz catheterization or hemodynamic evaluation. Eighteen general surgical, 30 orthopedic, 2 neurosurgical, and 1 gynecological procedures were performed. Forty-three were performed under general anesthesia, 7 under spinal anesthesia, and 1 with local anesthesia. Seven out of 51 patients (14%) experienced major complications, and 16 out of 51 (31%) experienced minor complications. Thirty-day mortality was 0%, and 6-month survival was 92%. Only one complication occurred within 48 hours of surgery that might possibly have been prevented with hemodynamic evaluation, adjustment of fluid status, inotropic support, and intensive care unit monitoring. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Recurrent lateral rectus palsy in childhood. Five patients with recurrent, lateral rectus palsy in childhood, examined at the University of Iowa Hospitals over a period of 22 years, are reported. During the same period, 131 abducens nerve palsy patients, younger than 18 years of age, were evaluated. Eighteen similar patients, most single case reports, are reviewed from the literature. All reported patients, including our own, shared the following features: spontaneous recovery within 6 months in the majority of patients, ipsilateral recurrence, and painless palsy. There is female and left-sided preponderance. Etiology is undetermined. Hypotheses include viral etiology, neurovascular compression by aberrant artery, and migraine. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Distribution of deletions and seven point mutations on CYP21B genes in three clinical forms of steroid 21-hydroxylase deficiency. To characterize mutations in the CYP21B gene that are responsible for congenital adrenal hyperplasia (CAH), DNA samples from 91 French patients have been studied by allelic-specific oligonucleotide hybridization and Southern blot analysis. Seven sites mostly found in the CYP21A pseudogene and deletions of the functional CYP21B gene have been screened. Gene conversions involving small DNA segments accounted for 57% of the tested mutations and probably cause 74% of the mutations responsible for the disease. Complete deletion of the CYP21B gene accounted for 18% of the CAH mutations in the whole sample and for 21% in the classical form of the disease. Three mutations were found associated with specific clinical forms of the disease: a G-C substitution in the seventh exon was associated with the late-onset form of the disease, and both an 8-bp depletion in the third exon and complete deletion of CYP21B were associated with the salt-wasting form. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Peptic ulcer surgery during the H2-receptor antagonist era: a population-based epidemiological study of ulcer surgery in Helsinki from 1972 to 1987. To evaluate the effects of improvements in medical therapy on the incidence of, indications for and operative methods used in peptic ulcer surgery, all cases of primary peptic ulcer surgery among adults in the city of Helsinki in the years 1972, 1977, 1982 and 1987 were analysed. There was a total of 565 such cases in a population which consisted of 5.2 X 10(5) individuals in 1972 and 4.8 X 10(5) individuals in 1987. The introduction of H2-receptor antagonists in 1979 was associated with a fall in the annual incidence of elective duodenal ulcer operations, from 15.5 to 6.7 per 10(5) individuals, and a fall in the annual incidence of elective gastric ulcer operations, from 9.4 to 3.1 per 10(5) individuals (P less than 0.05). The decrease was greatest among males with duodenal ulcer. In contrast, the annual incidence of emergency surgery for ulcer haemorrhage and perforation (all types of ulcers) remained relatively stable, varying from 7.2 to 10.2 per 10(5) inhabitants over the observation period (n.s.). The mean age of patients undergoing elective surgery remained essentially unchanged. The mean age of patients undergoing emergency surgery increased. The decrease in the annual incidence of elective duodenal ulcer surgery occurred mainly in relation to proximal gastric vagotomy. There was a concomitant relative increase in the incidence of gastric resection. The types of operative procedures used in cases of pyloric, prepyloric and gastric ulcer remained unchanged over the years 1972 to 1987. ",1,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Usefulness of fecal alpha 1-antitrypsin clearance and fecal concentration as early indicator of postoperative asymptomatic recurrence in Crohn's disease. The aim of this study was to evaluate in Crohn's disease the possible usefulness of alpha 1-antitrypsin clearance and fecal concentration in the early detection of postoperative asymptomatic recurrence. Eleven adult patients with small bowel Crohn's disease undergoing elective resection were enrolled in the study and prospectively followed for one year. Three, six, and 12 months after surgery the alpha 1-antitrypsin clearance and fecal concentration were measured, and the disease activity was assessed. All patients were free of active symptoms throughout the study. One year after surgery small bowel radiology was performed in all patients. Radiographic evidence of recurrent macroscopic disease was found in five of the 11 patients. Three months after surgery both alpha 1-antitrypsin clearance and fecal concentration were significantly lower (P less than 0.01) than before surgery. There was no difference at this time between patients with recurrence and those with no recurrence. In patients with recurrence both alpha 1-antitrypsin clearance and fecal concentration significantly increased at six months in comparison with the values at three months (P less than 0.02). Both measurements were significantly higher at six and 12 months in this group of patients than in those with no recurrence and in normal controls (P less than 0.01). At six and 12 months alpha 1-antitrypsin clearance was above the upper normal limit in all patients with recurrence. We conclude that fecal alpha 1-antitrypsin clearance is a noninvasive, inexpensive, sensitive marker of asymptomatic recurrence in CD patients who are under regular supervision after surgery. ",1,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Role of angioplasty in myocardial infarction management strategies: a review. The role of angioplasty in acute myocardial infarction has been extensively studied in the past few years. Although angioplasty in some circumstances can be the primary reperfusion intervention, logistic problems and the excellent results of intravenous thrombolytic therapy have resulted in postlytic angioplasty being the preferred use of this interventional strategy. Clinical trials of this strategy have not supported its routine use, however, and a much more selective application of postthrombolytic coronary artery dilation is advocated at this time. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Hypoxic events in the surgical intensive care unit. An oxygen-monitoring protocol was established in the surgical intensive care unit (SICU) at the Denver General Hospital in July 1988. A 3-month surveillance audit ending March 1989 prospectively documented 100 consecutive hypoxic events in 51 of 241 (21%) SICU patients. These episodes occurred during mechanical ventilation in 46 patients, during spontaneous ventilation in 15 patients with artificial airways, and the remaining 39 occurred in nonintubated patients. Hypoxemia was recognized by pulse oximetry in 59, arterial blood gas analysis in 24, mixed venous oximetry in 15, and transcutaneous oxygen monitoring in 2. These events were due to problems with the ventilator or airway in 42, recent interventions in 21, new pulmonary process in 19, progression of underlying disease in 11, and unknown causes in 7. Two thirds resulted from mechanical problems amenable to simple intervention; there were two adverse outcomes. In conclusion, acute hypoxia is a frequent potentially morbid SICU event. Advances in continuous oxygen monitoring permit early identification and thereby may limit adverse outcomes, but should not prompt an expensive diagnostic work-up. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Mortality in hereditary antithrombin-III deficiency--1830 to 1989 To determine whether antithrombin-III (AT-III) deficiency leads to an excess mortality, we studied 171 individuals from ten families with a proven hereditary deficiency. 73 were classified as certainly deficient either by direct measurement of AT-III concentration or by mendelian inheritance patterns. 98 individuals had a high probability (0.5) of deficiency. The 64 deaths recorded did not exceed those expected for the general population adjusted for age, sex, and calendar period. We suggest that a policy of prophylactic anticoagulation for patients with AT-III deficiency cannot be recommended. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Perioperative arrhythmias after Fontan repair. Arrhythmias are well-recognized sequelae of the Fontan repair. A prospective analysis of perioperative arrhythmias after Fontan repair was performed. Thirty-three patients had 24-hour ambulatory monitoring on the day before surgery and for 24 hours immediately after surgery; the 27 surviving patients had an additional 24-hour study on the seventh postoperative day. The most common preoperative rhythm was normal sinus, which was present in 79%. Hemodynamically significant preoperative arrhythmias were present in only two patients-atrial flutter (n = 1) and complete heart block (n = 1). Other asymptomatic preoperative arrhythmias included ectopic atrial rhythm (n = 2), supraventricular tachycardia (n = 1), accelerated junctional rhythm (n = 1), and frequent ventricular premature beats (n = 1). On the first postoperative day, the most common rhythm was accelerated junctional rhythm, which was present in 48%. Hemodynamically significant arrhythmias were present in nine patients (27%) -rapid accelerated junctional rhythm (rate, greater than 190 beats/min) (n = 3), complete heart block (n = 2), atrial flutter (n = 2), supraventricular tachycardia (n = 1), and ventricular tachycardia (n = 1). Three of six deaths occurring between postoperative days 2 and 7 were in patients with rapid accelerated junctional rhythm and associated low cardiac output. On the seventh postoperative day, the most common rhythm was normal sinus, which was present in 41%. Nine of the 27 surviving patients had complete resolution of their arrhythmias between postoperative days 2 and 7. On postoperative day 7, hemodynamically significant arrhythmias were present in four patients-atrial flutter (n = 2) and complete heart block (n = 2). ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Strapless oral-nasal interface for positive-pressure ventilation. A custom-fabricated strapless oral-nasal interface (SONI) is described. It was used in the long-term administration of intermittent positive-pressure ventilation (IPPV) by 18 patients with paralytic or restrictive pulmonary insufficiency. This interface is an acrylic shell which is firmly fixed to an orthodontic bite plate; it is designed to form a seal over the nose and mouth for the entry of IPPV. Eight patients were ventilator dependent 24 hours a day. The ten patients who required only nocturnal aid had improvement in daytime arterial blood gases. Although nine of these patients could manage less than 15 minutes of unassisted breathing (free time) supine, all slept supine on SONI IPPV. The 13 patients who underwent sleep monitoring maintained a mean oxygen saturation of 95.3% +/- 1.7% and acceptable end-tidal pCO2 (30 to 45 mmHg). These 13 patients have used SONI IPPV for an average of 22 months (range = 3 to 63 months). Impediments to successful long-term use of a SONI include the presence of a hyperactive gag reflex or stimulation of excessive oral secretions. When combined with mouth IPPV, glossopharyngeal breathing, the intermittent abdominal pressure ventilator, or the cuirass ventilator for daytime use, SONI IPPV is an option for the patient who prefers total ventilatory support by noninvasive means. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Retrograde nephrostolithotomy in management of complex renal calculi. From October 1986 to July 1990 we evaluated 22 patients with complex renal calculi in 25 kidneys for initial therapy using retrograde percutaneous nephrostolithotomy. In 3 patients we could not attain renal access in a retrograde fashion. In the remaining patients residual fragments after percutaneous nephrostolithotomy were treated with a combination of extracorporeal shock wave lithotripsy (ESWL), chemolysis and retrieval of small calculi with a flexible nephroscope. Successful treatments were achieved in 6 of the 22 kidneys (27%) using percutaneous nephrostolithotomy alone and in 17 (77%) using all modalities. Retrograde and antegrade percutaneous nephrostolithotomy in conjunction with ESWL, chemolysis and flexible nephroscopy in the treatment of patients with complex calculi yield comparable success rates. However, retrograde percutaneous nephrostolithotomy can be performed without the aid of an interventional radiologist and it provides easy access to the nondilated collecting system. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Bidirectional cavopulmonary anastomosis as interim palliation for high-risk Fontan candidates. Early results. Thirty-eight patients considered to be at increased risk for a Fontan repair underwent bidirectional cavopulmonary anastomosis. Twenty-one of the 38 had concurrent pulmonary artery reconstruction. Fontan risk factors included pulmonary artery distortion, elevated pulmonary artery resistance (greater than 2 Woods units) and/or pulmonary artery pressure (mean, greater than 18 mm Hg), atrioventricular valve regurgitation, systemic ventricular dysfunction, complex venous anatomy, and subaortic obstruction. There were no deaths, either early or late. Median arterial oxygen saturation increased from 79% to 84% (p less than 0.01). Median hospital stay was 8 days. No patient had pleural effusions after 7 days. Three patients had significant surgical complications. Five patients had inadequate relief of cyanosis; three of these had venous collaterals and two had severe ventricular dysfunction; the latter two patients subsequently had strokes. One of the patients with persistent cyanosis required a systemic-to-pulmonary artery shunt. We conclude that a bidirectional cavopulmonary shunt, with pulmonary artery reconstruction when indicated, provides adequate relief of cyanosis in most patients with single-ventricle lesions who are considered to be at increased risk for a Fontan repair. Relief of ventricular volume overload and pulmonary artery distortion may improve Fontan candidacy. Also, patients with persistent cyanosis after bidirectional cavopulmonary anastomosis should be catheterized for location and occlusion of venous collaterals. Further follow-up is necessary to determine the place of bidirectional cavopulmonary anastomosis in the management of patients at increased risk for a Fontan repair. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Short stature, mental retardation, and hypoparathyroidism: a new syndrome. Eight children (four boys and four girls) with extreme failure to thrive, dysmorphic features, developmental delay, hypoparathyroidism, and abnormal skeletal survey were studied. They were the products of seven consanguinous marriages, two of the patients being brothers. In the remaining six families, a further four children had affected siblings who had died in infancy. When assessed the children were aged 0.47-12.8 years; SD scores were less than -2 for height, weight, and head circumference in all patients. The children had identical facies with deep set eyes, depressed nasal bridge with beaked nose, long philtrum, thin upper lip, micrognathia, and large floppy earlobes. They were all developmentally retarded. The following abnormalities were found on investigation: hypocalcaemia in all (of whom six of seven had hypoparathyroidism), medullary stenosis and other skeletal survey defects in seven of the eight children, and reduced numbers of T cell subsets in four of four tested. We believe that these children represent a new, as yet undescribed genetically determined syndrome. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Complications in the use of sodium hypochlorite during endodontic treatment. Report of three cases. In endodontic treatment, solutions of sodium hypochlorite are widely used as an irrigating agent. It is an effective solvent of both necrotic and vital tissues, which makes it toxic to the surrounding tissues. Complications are rarely reported. Nevertheless, the acute symptoms caused by the toxic reaction must not be underestimated. Causes, treatment, and prevention of complications of sodium hypochlorite use are discussed, and three case reports are presented. ",0,"Does the abstract mention any conditions related to the mouth, esophagus, stomach, intestines, liver, pancreas, or gallbladder?"
"Characterization and histopathological correlation of cytosol proteins of benign and malignant breast tumors. Significant differences in cytosol protein level exist between normal/benign and cancerous breast tissues. There is a positive correlation between the cytosol protein level and histological grade of carcinoma. Well-differentiated carcinoma have a lower value of cytosol protein than poorly differentiated carcinoma. In slab gel electrophoregrams, the total numbers of bands are almost identical in normal, benign, and malignant conditions. In addition, 37 Kd protein band is consistently present in malignant cases and always absent in normal or benign cases. More extensive biophysical examination of this band may provide further insight into the protein alterations in cancer cells at the molecular level. ",0,"Does the abstract discuss inflammation, edema, fever or other general reactions to injuries or infections?"
"Rising incidence of adenocarcinoma of the esophagus and gastric cardia Analyses of cancer incidence data from nine areas of the United States revealed steadily rising rates from 1976 to 1987 of adenocarcinomas of the esophagus and gastric cardia. The increases among men in this period ranged from 4% to 10% per year, and thus exceeded those of any other type of cancer. In contrast, there were relatively stable trends for squamous cell carcinoma of the esophagus and slight declines for adenocarcinoma of more distal portions of the stomach. Adenocarcinomas of the esophagus and gastric cardia disproportionately affected white men and rarely occurred among women. By the mid-1980s, among white men, adenocarcinomas accounted for about one third of all esophageal cancers, while cardia cancers accounted for about one half of all stomach cancers with specified subsites. The rising incidence rates and similar demographic patterns point to the need for investigation into the causes of these poorly understood cancers. ",0,"Does the abstract discuss inflammation, edema, fever or other general reactions to injuries or infections?"
"The impact of microinvasion on axillary node metastases and survival in patients with intraductal breast cancer. A rational approach to the local treatment of intraductal breast cancer continues to generate considerable debate. However, the finding of an invasive component in intraductal breast cancer is widely regarded as an appropriate indication for axillary node dissection as part of the local treatment and staging of this disease. Despite this view, the natural history of patients with intraductal breast cancer with foci of microinvasion is poorly defined. Between 1965 and 1988, 41 patients with this pathologic finding of intraductal carcinoma with foci of microinvasion were seen at the UCLA Medical Center. Twenty-three patients presented with mammographic abnormalities, while 17 patients presented with a palpable mass. One patient presented with Paget's disease of the nipple. Thirty-three patients underwent axillary node dissection as part of their local treatment. No lymph node metastases were identified. The median follow-up in 37 patients was 47 months. There have been no local recurrences and no deaths from recurrent breast cancer. Intraductal breast cancer associated with microinvasion appears to be an extremely favorable lesion with minimal risk of nodal metastases. ",0,"Does the abstract discuss inflammation, edema, fever or other general reactions to injuries or infections?"
"The nursing role in limb salvage surgery. Limb salvage surgery has proven itself as a valuable option for sarcoma patients. The reconstruction options are vast and include metallic implants, allografts, and a combination of both. The nursing implications for these patients are unlimited. The patient needs to be educated and assessed closely for complications such as infections, nonunion of the allograft, and limited mobility. Although the nursing care is more complicated, the rewards with working with these patients are great. ",1,"Does the abstract discuss inflammation, edema, fever or other general reactions to injuries or infections?"
"Perforation and tumor formation of the intestine in primary amyloidosis. We report a case of primary amyloidosis with repeated bowel perforations. This patient also had localized amyloid deposition creating a tumorous region mimicking malignancy in the rectum. Perforation of the intestine is common in systemic amyloidosis. The ischemic change due to amyloid infiltration into the vessel wall may lead to perforation of the affected bowel. Amyloid tumors occur more often in localized amyloid than in systemic amyloidosis. Macroscopically, it is difficult to distinguish amyloid tumor of the intestine from neoplasia. ",1,"Does the abstract discuss inflammation, edema, fever or other general reactions to injuries or infections?"
"Needle aspiration and pressure sutures for auricular pseudocyst. Auricular pseudocyst is an asymptomatic cystic swelling of the upper portion of the auricle. Various therapeutic approaches have been employed with variable success. We report our results with nine patients treated by needle aspiration and bolstered pressure sutures applied over both aspects of the cyst for 1 week. Treatment resulted in complete resolution with no recurrence of the lesion in any of the patients. This procedure is simple, does not require an operating room setting, and is more comfortable and more acceptable aesthetically by the patient. ",0,"Does the abstract discuss inflammation, edema, fever or other general reactions to injuries or infections?"
"Vimentin expression appears to be associated with poor prognosis in node-negative ductal NOS breast carcinomas. Vimentin expression in tumors from 83 node-negative and 112 node-positive patients with infiltrative ductal not otherwise specified (NOS) breast carcinomas has been compared with 5-year survival. For node-negative, but not for node-positive patients, there was a significant inverse relation between vimentin expression and survival. Five-year survival of node-negative patients with vimentin-positive tumors was significantly worse compared with vimentin-negative tumors (P less than 0.0001). In the node-negative group, only 36% of patients with vimentin-positive tumors but 82% of patients with vimentin-negative tumors survived 5 years. Tumors of all eight node-negative patients with ductal NOS cancer who died in the first 27 months expressed vimentin. Multivariate analysis of the node-negative group showed a strong correlation of vimentin expression and overall survival, but weak and not significant correlation between histologic grade or size and overall survival at 5 years. Thus vimentin expression seems to be a strong indicator of poor prognosis in node-negative ductal NOS breast carcinomas. ",0,"Does the abstract discuss inflammation, edema, fever or other general reactions to injuries or infections?"
"Diagnostic accuracy and appropriateness of care for seborrheic keratoses. A pilot study of an approach to quality assurance for cutaneous surgery In 1985 there were more than 40 million visits for ambulatory surgical procedures in the United States. Although benign cutaneous lesions are among the most frequent conditions to receive surgical treatment in ambulatory settings, their treatment is seldom subject to peer review. In this pilot study we assessed diagnostic accuracy and appropriateness of care using information available from the surgical pathology laboratory. We assessed these two measures of physician performance for 527 seborrheic keratoses removed by 133 clinicians affiliated with four different institutions. Overall, a correct preoperative diagnosis was provided in only 49% of cases. Dermatologists had the highest diagnostic accuracy (61% vs 35% for all other physicians). An appropriate procedure for the actual pathological diagnosis was performed in only 50% of cases. Lesions with a correct preoperative diagnosis were more than eight times more likely to receive appropriate care. Our data suggest that many clinicians fail to note a correct diagnosis of common cutaneous lesions before surgical removal, and many patients are treated with procedures that are more invasive than necessary for the final pathological diagnosis. Because the approach used in this pilot study relies on data already available, it has promise as a low-cost method of monitoring the quality of care of ambulatory surgery. ",1,"Does the abstract discuss inflammation, edema, fever or other general reactions to injuries or infections?"
"Literacy and laryngectomy: how should one treat head and neck cancer in patients who cannot read or write? The entire population of otolaryngologists and radiation oncologists (N = 192) in active practice in the state of North Carolina were surveyed to assess their level of awareness of illiteracy among adults in the United States and to determine whether these physicians consider illiteracy in the treatment decision process for patients with head and neck cancer. Excluding respondents who did not treat patients with head and neck cancer and physicians practicing outside of the state of North Carolina, the response rate was 115 of 182, or 63%. Only 26% of respondents were able to estimate correctly the prevalence of illiteracy in the US adult population. Forty-one percent of respondents, however, stated that they did consider their patient's ability to read and/or write before making treatment recommendations for head and neck cancer. This survey and accompanying literature review suggest that physicians perceive illiteracy as a problem that may have a significant impact on patients with head and neck cancer, but lack the data needed to enable them to quantify the effect of illiteracy on treatment outcome. The study reported is the first step in examining ways in which illiteracy might negatively affect patient outcomes. ",1,"Does the abstract discuss inflammation, edema, fever or other general reactions to injuries or infections?"
"Central nervous system haemangioblastoma: a clinical and genetic study of 52 cases. Fifty two cases of haemangioblastoma were reviewed for their clinical, genetic and prognostic features. Of 34 patients with apparently isolated cerebellar lesions, postoperative outcome was good in 79%. Six isolated spinal lesions presented more insidiously and morbidity was related to incomplete resection. Twelve (23%) of the patients definitely had von Hippel-Lindau disease (VHLD). The true proportion may be higher as this diagnosis was not definitely excluded in many of the remainder; only ten patients with seemingly isolated cerebellar tumours were appropriately investigated and two had evidence of VHLD. Four out of 26 cases (15%) with apparently completely resected, isolated, cerebellar lesions later developed recurrent tumours. Brainstem and supratentorial haemangioblastomas were rare and were always associated with VHLD. The cerebellar or spinal haemangioblastomas due to VHLD had no distinctive clinical features compared with isolated tumours and there was considerable overlap in age of onset between the two groups of cases. All patients with an apparently isolated CNS haemangioblastoma should be investigated for evidence of von Hippel-Lindau disease. ",0,"Does the abstract discuss inflammation, edema, fever or other general reactions to injuries or infections?"
"A prospective study of double diagnosis of nonpalpable lesions of the breast. Approximately three-fourths of open biopsies of the breast performed for mammographically detected suspicious lesions are shown histologically to be benign. Under the narrow conditions described herein, stereotaxic fine-needle aspiration (FNA) can identify these lesions with an accuracy of more than 90 per cent and a false-negative rate of 5 per cent. In an effort to reduce this failure rate, the mammographic appearance and stereotaxic FNA results of these lesions each were given scores on a scale of zero (benign) to five (malignant), to derive an over-all risk score prospectively applied to 264 suspicious occult lesions of the breast prior to open, biopsy. While all 264 lesions could be assigned a mammographic score, adequate tissue for assignment of a cytologic score could be obtained from 150 lesions. Of the 150 evaluable lesions, 53 were malignant and 97 were benign, historically. With a total score of two as the threshold for open biopsy, 21 of 150 (14 per cent) were proved to be benign, with no false-negative findings. If the total threshold score mandating an open biopsy was raised to four, the comparable figures were 61 of 150 (40 per cent) benign lesions and two false-negative instances of carcinoma in situ. Provided adequate tissue is aspirated for cytologic examination, we conclude that this algorithm has practical value in the management of nonpalpable lesions of the breast in that it can reliably identify a fraction of the benign lesions and spare these patients an operation. ",0,"Does the abstract discuss inflammation, edema, fever or other general reactions to injuries or infections?"
"Fine needle aspiration biopsy in the diagnosis and management of fibroadenoma of the breast. Cytological and histological biopsies were obtained on 75 breast lumps clinically diagnosed as fibroadenomas. Of these, 95 per cent of lesions were benign. In 51 (68 per cent) confirmed as fibroadenomas histologically, cytology was benign in 78 per cent, but inadequate for diagnosis in 16 per cent. The remaining 24 lesions included three breast cancers and one lymph node with Hodgkin's disease. In this group cytology was inadequate for diagnosis in 54 per cent, including one breast cancer. No lesion with benign cytology was subsequently shown to be malignant. The study supports the view that clinical diagnosis and cytology are accurate in the diagnosis of benign breast disease of this type. Breast cancer may rarely present with the clinical features of a fibroadenoma and too few lesions have been studied to assess fully the performance of cytological biopsy in detecting these small mobile lesions. A non-excisional policy should therefore include prolonged follow-up and repeat biopsy. ",0,"Does the abstract discuss inflammation, edema, fever or other general reactions to injuries or infections?"
"Clinical recognition and evaluation of peptic ulcer disease. When a patient has epigastric pain that worsens 1 to 3 hours after meals, the possibility of peptic ulcer disease should be considered. Completely typical clinical presentations in patients younger than age 50 justify empirical therapy when no physical or laboratory findings suggest a mimicking disorder. Esophagogastroduodenoscopy should be undertaken when response to therapy is incomplete, symptoms recur quickly, or dyspeptic symptoms present for the first time in a patient older than age 50. When gastric ulcers are diagnosed radiographically, endoscopy and biopsy at multiple sites should be done to exclude malignant disease. Intractable duodenal ulcers may necessitate endoscopic biopsy of antral and duodenal mucosa to rule out an associated Helicobacter pylori infection, which may modify therapeutic approaches. Zollinger-Ellison syndrome is rare but should be suspected when ulcer disease presents atypically or aggressively or in families. Diagnosis is not difficult to confirm. ",0,"Does the abstract discuss inflammation, edema, fever or other general reactions to injuries or infections?"
"Spinal glioblastomas: report of seven cases and review of the literature. Intramedullary glioblastomas are uncommon tumors. They occur chiefly in the cervicothoracic segments, have a slight tendency to occur in the early decades of life, and have a short clinical history before diagnosis. We report seven cases and discuss the salient features of these tumors, particularly the pathological features and treatment, in light of the relevant literature. ",0,"Does the abstract discuss inflammation, edema, fever or other general reactions to injuries or infections?"
"Partial nephrectomy for renal cell carcinoma: indications, results and implications. Of 52 patients who underwent partial nephrectomy for tumor 44 were found to have renal cell carcinoma. The indications for this parenchyma-sparing procedure were categorized according to the initial status of the contralateral kidney and included bilateral tumors or tumor in a solitary kidney in 16 patients (mandatory indications), unilateral carcinoma with compromise of the contralateral kidney by a benign disease process in 9 (relative indications) and small peripheral tumor with a normal contralateral kidney in 19 (elective indications). There were 4 recurrences that accounted for 3 deaths, all in patients with mandatory indications. All patients who underwent partial nephrectomy for relative or elective indications were without definite evidence of recurrent disease at last followup (over-all mean 36 months). Our results suggest that conservative surgery can often provide effective and advantageous therapy for renal cancer and we encourage further consideration of the role of partial nephrectomy as an alternative to radical nephrectomy in selected patients with small peripheral tumors and normal contralateral kidneys. ",0,"Does the abstract discuss inflammation, edema, fever or other general reactions to injuries or infections?"
"Lung cancer in patients younger than 40 years of age. The records of 52 patients younger than 40 years of age who had bronchogenic carcinoma diagnosed between 1965 and 1985 were reviewed. The preponderance of adenocarcinoma (54%), the lower male-female ratio in this age group compared with patients age 40 or older (2:1), the importance of cigarette smoking as a causative factor (80% of patients), the long mean duration of symptoms (5 months), and the high incidence of advanced stage at diagnosis (77% Stages III and IV) in these patients are findings similar to those reported in other published series. There was no significant difference in resectability (23% versus 19%), median survival length (5.3 months versus 6.9 months), median survival length of patients who had surgical resection (10.5 months versus 10.8 months), and 5-year survival rate (11.5% versus 6.3%) in these patients compared with a randomly selected group of 260 patients with lung cancer who were age 40 or older. ",0,"Does the abstract discuss inflammation, edema, fever or other general reactions to injuries or infections?"
